date,mean,median,sum,std,max,min
2000-05-19,35781.35242290749,1400.0,8122367.0,291310.22451616003,0,0
2000-05-20,,,0.0,,0,0
2000-05-21,,,0.0,,0,0
2000-05-22,4819.645348837209,1593.5,828979.0,12148.440259098026,0,0
2000-05-23,4565.052132701422,1080.0,963226.0,17941.29838412434,0,0
2000-05-24,13462.38383838384,1305.0,3998328.0,97008.89132852045,0,0
2000-05-25,6841.310734463277,789.0,2421824.0,43654.317340732356,0,0
2000-05-26,73528.38268156424,1198.0,26323161.0,1072174.7056750506,0,0
2000-05-27,,,0.0,,0,0
2000-05-28,,,0.0,,0,0
2000-05-29,61189.17438692098,1200.0,22456427.0,882273.6629266808,0,0
2000-05-30,24897.428571428572,896.0,9062664.0,305801.75887545483,0,0
2000-05-31,14181.607052896725,1200.0,5630098.0,122753.12030105012,0,0
2000-06-01,22800.803317535545,1194.0,9621939.0,190453.63209747427,0,0
2000-06-02,14335.69616519174,1340.0,4859801.0,144715.27487175833,0,0
2000-06-03,,,0.0,,0,0
2000-06-04,,,0.0,,0,0
2000-06-05,5886.891358024692,1050.0,2384191.0,28838.93468397741,0,0
2000-06-06,3297.824324324324,1023.0,1464234.0,9821.504099446498,0,0
2000-06-07,8672.09264305177,1156.0,3182658.0,79530.92986423858,0,0
2000-06-08,6560.51,1260.0,2624204.0,48630.38774865875,0,0
2000-06-09,4583.929663608563,1190.0,1498945.0,19992.08993511299,0,0
2000-06-10,,,0.0,,0,0
2000-06-11,,,0.0,,0,0
2000-06-12,14763.509473684211,1200.0,7012667.0,220871.91741075786,0,0
2000-06-13,15190.941995359628,1170.0,6547296.0,240945.3967005049,0,0
2000-06-14,2877.3041825095056,1059.5,1513462.0,5884.135563166772,0,0
2000-06-15,7065.1862527716185,1191.0,3186399.0,62396.213576176255,0,0
2000-06-16,12354.01133786848,957.0,5448119.0,139136.5147327923,0,0
2000-06-17,,,0.0,,0,0
2000-06-18,,,0.0,,0,0
2000-06-19,5509.4409937888195,1215.0,2661060.0,40346.38017184635,0,0
2000-06-20,11982.618887015176,1053.0,7105693.0,157634.40231878677,0,0
2000-06-21,3567.003861003861,949.5,1847708.0,17285.930512064973,0,0
2000-06-22,,,0.0,,0,0
2000-06-23,5393.192708333333,1088.5,1035493.0,22847.168550166967,0,0
2000-06-24,,,0.0,,0,0
2000-06-25,,,0.0,,0,0
2000-06-26,5106.659774436091,980.0,2716743.0,25595.736387031277,0,0
2000-06-27,2927.9781659388645,1382.5,1341014.0,7909.891614506172,0,0
2000-06-28,5755.706004140787,1098.0,2780006.0,49451.24219999611,0,0
2000-06-29,21579.319796954314,1032.0,8502252.0,186601.40253157401,0,0
2000-06-30,10977.479357798165,1244.5,4786181.0,77907.21275230005,0,0
2000-07-01,,,0.0,,0,0
2000-07-02,,,0.0,,0,0
2000-07-03,12651.69076305221,1149.0,6300542.0,97471.2439666303,0,0
2000-07-04,15428.378746594006,1044.0,5662215.0,184684.88056517852,0,0
2000-07-05,3444.116504854369,941.5,1418976.0,9025.351178441402,0,0
2000-07-06,7791.896624472573,1315.5,3693359.0,57752.6234067573,0,0
2000-07-07,5899.232558139535,960.0,2790337.0,65391.224438428355,0,0
2000-07-08,,,0.0,,0,0
2000-07-09,,,0.0,,0,0
2000-07-10,20583.880998080615,1200.0,10724202.0,265708.7225016087,0,0
2000-07-11,12180.676470588236,942.0,5383859.0,162607.1093425337,0,0
2000-07-12,8893.721343873518,1148.0,4500223.0,76686.58047177465,0,0
2000-07-13,14399.99209486166,990.0,7286396.0,231135.59623291393,0,0
2000-07-14,13201.65306122449,1204.5,6468810.0,121156.64853096237,0,0
2000-07-15,,,0.0,,0,0
2000-07-16,,,0.0,,0,0
2000-07-17,8615.9,1249.5,3704837.0,113403.91375353953,0,0
2000-07-18,9501.623529411765,1000.0,4038190.0,91112.49141167088,0,0
2000-07-19,3457.6926503340756,1075.0,1552504.0,15149.051880156536,0,0
